fromDiacriticExtender	syllabic	stress	long	consonantal	sonorant	continuant	delayed_release	approximant	tap	trill	nasal	voice	spread_gl	constr_gl	LABIAL	round	labiodental	CORONAL	anterior	distributed	strident	lateral	DORSAL	high	low	front	back	tense
d̪	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	0
l̪	-1	-1	-1	1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	0	0	0	0	0
n̪	-1	-1	-1	1	1	-1	0	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	0
r̪	-1	-1	-1	1	1	1	0	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	0
s̪	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	0	0	0	0	0
t̪	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	0
z̪	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	0	0	0	0	0
bː	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0
ɟ͡ʝː	-1	-1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	0
eː	1	-1	1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	1
ɲː	-1	-1	1	1	1	-1	0	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	0
jː	-1	-1	1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	1
kː	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	0	0	0
l̪ː	-1	-1	1	1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	0	0	0	0	0
mː	-1	-1	1	1	1	-1	0	-1	-1	-1	1	1	-1	-1	1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0
n̪ː	-1	-1	1	1	1	-1	0	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	0
r̪ː	-1	-1	1	1	1	1	0	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	0
ʃː	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	0	0	0	0
s̪ː	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	0	0	0	0	0
t̪ː	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	0
t͡ʃː	-1	-1	1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	0	0	0	0
t̪͡s̪ː	-1	-1	1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	0	0	0	0	0
c͡çː	-1	-1	1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	0
yː	1	-1	1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	1	-1	1	-1	1
z̪ː	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	0	0	0	0	0
øː	1	-1	1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	1
ɕː	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	1	-1	0
bʲ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	0
d̪ʲ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	1	-1	0
fʲ	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	0	0	0	-1	1	1	-1	1	-1	0
ɡʲ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	0
kʲ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	0
l̪ʲ	-1	-1	-1	1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	1	1	-1	1	-1	0
mʲ	-1	-1	-1	1	1	-1	0	-1	-1	-1	1	1	-1	-1	1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	0
n̪ʲ	-1	-1	-1	1	1	-1	0	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	1	-1	0
pʲ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	0
r̪ʲ	-1	-1	-1	1	1	1	0	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	1	-1	0
s̪ʲ	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	1	-1	0
t̪ʲ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	1	-1	0
vʲ	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	0	0	0	-1	1	1	-1	1	-1	0
xʲ	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	0
z̪ʲ	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	1	-1	0
l̪ˠ	-1	-1	-1	1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	0
ʃˠ	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	1	1	-1	-1	1	0
ʒˠ	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	1	1	-1	-1	1	0
